Event|Day|Date|Time|Location|Speakers|Moderator|ModeratorOrg|URL
Broadcast deep dives 1 (Sponsored by Napoli Management Group)|Thursday|June 16|2:30 p.m.|Galerie 2| Andy Pierrotti, Steve Eckert, Eva Parks, A. J. Lagoe, Scott Friedman|No moderator listed||http://www.ire.org/events-and-training/event/2199/2575/
Broadcast: Feeding the beast|Saturday|June 18|9 a.m.|Galerie 3| Randy Mac, Scott MacFarlane, Amy Corral, Aaron Diamant|No moderator listed||http://www.ire.org/events-and-training/event/2199/2622/
An intro to coding in Python pt. 1|Saturday|June 18|3 p.m.|Salon B| Aaron Kessler, Christopher Schnaars|No moderator listed||http://www.ire.org/events-and-training/event/2199/2648/
An intro to coding in Python pt. 2|Saturday|June 18|4:15 p.m.|Salon B| Christopher Schnaars, Aaron Kessler|No moderator listed||http://www.ire.org/events-and-training/event/2199/2649/
Political advertising: How to unlock new insights from a fresh treasure trove of data|Friday|June 17|11:30 a.m.|Galerie 6| Nancy Watzman, Aaron Sharockman, Robert Maguire|No moderator listed||http://www.ire.org/events-and-training/event/2199/2577/
Campus coverage: Policing the campus police|Saturday|June 18|3 p.m.|Galerie 6| Paula Lavigne, Frank LoMonte, Aaron Wische, Jill Riepenhoff|Jill Riepenhoff| The Columbus Dispatch|http://www.ire.org/events-and-training/event/2199/2686/
Management: Why won't you just do what I want? Fixing the reporter-editor relationship|Saturday|June 18|10:15 a.m.|Salon F-H| Matt Apuzzo, Brett Blackledge, Amy Fiscus, Adam Goldman|No moderator listed||http://www.ire.org/events-and-training/event/2199/2590/
Innovations in storytelling|Saturday|June 18|4:15 p.m.|Salon D| Adam Playford, Paul Cheung|No moderator listed||http://www.ire.org/events-and-training/event/2199/2670/
Jaw-droppingly cool online tools and apps that journalists love (Sponsored by TEGNA, Inc.)|Saturday|June 18|9 a.m.|Salon D|Al Tompkins|No moderator listed||http://www.ire.org/events-and-training/event/2199/2621/
Show & Tell *Friday - #4 (Sponsored by Napoli Management Group)|Friday|June 17|3:45 p.m.|Galerie 2|Al Tompkins|Al Tompkins|Poynter|http://www.ire.org/events-and-training/event/2199/2721/
Show & Tell *Friday - #5 (Sponsored by Napoli Management Group)|Friday|June 17|5 p.m.|Galerie 2|Al Tompkins|Al Tompkins|Poynter|http://www.ire.org/events-and-training/event/2199/2722/
From tips, to stories, to paying the bills: A playbook for crowd-driven investigations (Sponsored by CUNY Graduate School of Journalism)|Saturday|June 18|11:30 a.m.|Studio 9-10| Terry Parris Jr., Carrie Brown, Alana Jesse, Jesse Hardman|Carrie Brown|CUNY Graduate School of Journalism|http://www.ire.org/events-and-training/event/2199/2661/
Innocence projects|Saturday|June 18|4:15 p.m.|Studio 9-10| Brian Patrick O'Donoghue, Brad Heath, Alec Klein, Maurice Possley|Brad Heath|USA TODAY NETWORK|http://www.ire.org/events-and-training/event/2199/2678/
Networking: Getting plugged into journalism around the world|Friday|June 17|3:45 p.m.|Galerie 4-5| Alejandro González, David Lemayian, Amanda Strydom, Carlos Eduardo Huertas, David Kaplan, Drew Sullivan, Rana Sabbagh|David Kaplan|Global Investigative Journalism Network|http://www.ire.org/events-and-training/event/2199/2684/
Campus coverage: The cost of going to college|Thursday|June 16|3:45 p.m.|Galerie 4-5| Gordon Russell, Jon Marcus, Alex Richards|No moderator listed||http://www.ire.org/events-and-training/event/2199/2681/
Coding for journalists (cont'd) **pre-registered attendees only (Sunday)|Sunday|June 19|9 a.m.|Salon C|Alex Richards|No moderator listed||http://www.ire.org/events-and-training/event/2199/2543/
Coding for journalists (pre-registered attendees only)|Saturday|June 18|9 a.m.|Salon C|Alex Richards|No moderator listed||http://www.ire.org/events-and-training/event/2199/2542/
NICAR Commons: Story clinic|Thursday|June 16|11:30 a.m.|Preservation Hall| Jaimi Dowdell, Mark Horvit, Liz Lucas, Megan Luther, Alex Richards|No moderator listed||http://www.ire.org/events-and-training/event/2199/2780/
Robots that report: How fact-checkers worldwide are experimenting with automation|Friday|June 17|9 a.m.|Salon E| Alexios Mantzarlis, Bill Adair|No moderator listed||http://www.ire.org/events-and-training/event/2199/2594/
Longform investigative narrative: Telling stories on different platforms|Saturday|June 18|4:15 p.m.|Galerie 6| Greg Borowski, Dave Savini, Susanne Reber, Alice Brennan|Dave Savini| CBS/WBBM Chicago|http://www.ire.org/events-and-training/event/2199/2675/
NICAR Commons: What to do about dedicated but frustrating editors|Friday|June 17|9 a.m.|Preservation Hall|Alison Young|Alison Young|USA TODAY NETWORK|http://www.ire.org/events-and-training/event/2199/2775/
Tracking down investigative threads|Thursday|June 16|10:15 a.m.|Galerie 4-5| Charles Lewis, Alison Young, Dan Kane|No moderator listed||http://www.ire.org/events-and-training/event/2199/2563/
Working with African newsrooms: From collaboration to coding (Sponsored by International Center for Journalists)|Thursday|June 16|10:15 a.m.|Salon E| Amanda Strydom, David Lemayian|No moderator listed||http://www.ire.org/events-and-training/event/2199/2556/
Management: Just say no (or yes) - Vetting story ideas|Thursday|June 16|3:45 p.m.|Salon F-H| Amy Pyle, Jennifer Forsyth, Flynn McRoberts|No moderator listed||http://www.ire.org/events-and-training/event/2199/2676/
Getting your stuff together|Thursday|June 16|9 a.m.|Salon D| Andrea Parquet-Taylor, Cheryl W. Thompson, T. Christian Miller, Marina Trahan Martinez|T. Christian Miller|ProPublica|http://www.ire.org/events-and-training/event/2199/2664/
Broadcast deep dives 2 (Sponsored by Napoli Management Group)|Friday|June 17|2:30 p.m.|Galerie 2| Matthew Glasser, Harry Hairston, Andres Cediel, Daffodil Altan, Joel Grover|No moderator listed||http://www.ire.org/events-and-training/event/2199/2589/
Humanizing numbers|Thursday|June 16|5 p.m.|Salon F-H| Mc Nelly Torres, Andrew Lehren, Kendall Taggart|No moderator listed||http://www.ire.org/events-and-training/event/2199/2562/
Breaking news investigations|Friday|June 17|11:30 a.m.|Salon E| Richard Pienciak, Andy Donohue, Laura Smitherman, Jenna Russell|Andy Donohue|Reveal/CIR|http://www.ire.org/events-and-training/event/2199/2666/
Turning your investigation into: A play|Friday|June 17|3:45 p.m.|Galerie 6| Andy Donohue, Jennifer Welch, Michelle T. Johnson, Mike McGraw|Andy Donohue| Reveal/CIR|http://www.ire.org/events-and-training/event/2199/2579/
Human rights investigations (Sponsored by Dart Center for Journalism & Trauma)|Saturday|June 18|3 p.m.|Salon D| Mostafa ElMarsafawy, Carlos Dada, Angela Kocherga, Bruce Shapiro|Bruce Shapiro|Dart Center for Journalism & Trauma|http://www.ire.org/events-and-training/event/2199/2669/
The art of cultivating and protecting whistleblowers (Sponsored by NBC News and MSNBC)|Thursday|June 16|11:30 a.m.|Galerie 4-5| Josh Meyer, Angie Moreschi, Marta Jewson, Michael Hudson|Josh Meyer|NBC News|http://www.ire.org/events-and-training/event/2199/2564/
Broadcast: Visuals - Making the story sing|Friday|June 17|9 a.m.|Galerie 3| Anna Hewson, Evan Stulberger, Felipe Escamilla, Peter Hull|No moderator listed||http://www.ire.org/events-and-training/event/2199/2580/
